date;userID
29/02/2020 13:19;299
29/02/2020 13:32;295
29/02/2020 14:11;307
29/02/2020 14:16;320
29/02/2020 14:20;557
29/02/2020 14:33;678
29/02/2020 14:37;317
29/02/2020 14:40;557
29/02/2020 14:47;325
29/02/2020 14:49;557
29/02/2020 14:49;595
29/02/2020 14:53;582
29/02/2020 14:55;564
29/02/2020 14:58;556
29/02/2020 15:01;307
29/02/2020 15:05;603
29/02/2020 15:08;326
29/02/2020 15:08;554
29/02/2020 15:18;557
29/02/2020 15:19;557
29/02/2020 15:24;333
29/02/2020 15:26;584
29/02/2020 15:29;292
29/02/2020 15:29;316
29/02/2020 15:31;563
29/02/2020 15:31;771
29/02/2020 15:33;632
29/02/2020 15:38;634
29/02/2020 15:38;651
29/02/2020 15:39;600
29/02/2020 15:40;623
29/02/2020 15:46;615
29/02/2020 15:50;549
29/02/2020 15:52;585
29/02/2020 15:56;291
29/02/2020 16:02;767
29/02/2020 16:12;601
29/02/2020 16:12;621
29/02/2020 16:19;615
29/02/2020 16:21;585
29/02/2020 16:23;630
29/02/2020 16:24;624
29/02/2020 16:38;332
29/02/2020 16:38;776
29/02/2020 16:39;708
29/02/2020 16:41;710
29/02/2020 16:47;332
29/02/2020 16:48;312
29/02/2020 16:53;298
29/02/2020 16:56;676
29/02/2020 16:59;334
29/02/2020 16:59;692
29/02/2020 17:00;298
29/02/2020 17:01;562
29/02/2020 17:02;710
29/02/2020 17:02;745
29/02/2020 17:05;332
29/02/2020 17:10;308
29/02/2020 17:12;329
29/02/2020 17:12;714
29/02/2020 17:13;329
29/02/2020 17:16;309
29/02/2020 17:25;300
29/02/2020 17:26;426
29/02/2020 17:26;458
29/02/2020 17:26;467
29/02/2020 17:27;318
29/02/2020 17:27;300
29/02/2020 17:28;448
29/02/2020 17:29;249
29/02/2020 17:30;434
29/02/2020 17:33;476
29/02/2020 17:35;437
29/02/2020 17:37;441
29/02/2020 17:42;278
29/02/2020 17:42;450
29/02/2020 17:43;738
29/02/2020 17:48;567
29/02/2020 17:49;256
29/02/2020 17:54;696
29/02/2020 17:55;220
29/02/2020 17:57;485
29/02/2020 17:58;240
29/02/2020 18:01;756
29/02/2020 18:08;702
29/02/2020 18:10;713
29/02/2020 18:12;233
29/02/2020 18:16;270
29/02/2020 18:17;671
29/02/2020 18:18;430
29/02/2020 18:20;251
29/02/2020 18:21;225
29/02/2020 18:21;259
29/02/2020 18:22;257
29/02/2020 18:23;221
29/02/2020 18:23;268
29/02/2020 18:25;438
29/02/2020 18:29;240
29/02/2020 18:30;261
29/02/2020 18:35;740
29/02/2020 18:39;465
29/02/2020 18:45;261
29/02/2020 18:46;721
29/02/2020 18:50;231
29/02/2020 18:54;227
29/02/2020 18:55;253
29/02/2020 18:58;743
29/02/2020 19:10;682
29/02/2020 19:23;460
29/02/2020 19:29;242
29/02/2020 19:31;716
29/02/2020 19:39;226
29/02/2020 19:39;285
29/02/2020 19:43;238
29/02/2020 19:49;402
29/02/2020 19:52;214
29/02/2020 19:57;237
29/02/2020 19:59;269
29/02/2020 20:00;239
29/02/2020 20:00;273
29/02/2020 20:00;486
29/02/2020 20:01;483
29/02/2020 20:02;266
29/02/2020 20:02;447
29/02/2020 20:04;407
29/02/2020 20:10;254
29/02/2020 20:11;222
29/02/2020 20:11;746
29/02/2020 20:13;279
29/02/2020 20:15;248
29/02/2020 20:16;728
29/02/2020 20:17;259
29/02/2020 20:20;224
29/02/2020 20:20;241
29/02/2020 20:23;267
29/02/2020 20:25;277
29/02/2020 20:29;262
29/02/2020 20:35;405
29/02/2020 20:39;263
29/02/2020 20:39;758
29/02/2020 20:43;246
29/02/2020 20:43;272
29/02/2020 20:45;611
29/02/2020 20:46;622
29/02/2020 20:47;260
29/02/2020 20:47;407
29/02/2020 20:47;640
29/02/2020 20:48;272
29/02/2020 20:49;272
29/02/2020 20:52;436
29/02/2020 20:53;431
29/02/2020 20:53;638
29/02/2020 20:54;272
29/02/2020 20:57;264
29/02/2020 20:58;399
29/02/2020 21:01;234
29/02/2020 21:02;234
29/02/2020 21:02;283
29/02/2020 21:03;637
29/02/2020 21:06;271
29/02/2020 21:08;218
29/02/2020 21:09;250
29/02/2020 21:09;252
29/02/2020 21:10;275
29/02/2020 21:15;284
29/02/2020 21:15;763
29/02/2020 21:18;215
29/02/2020 21:20;215
29/02/2020 21:30;258
29/02/2020 21:39;281
